Lemma('long.a.01.long'): {'lemma': 'long', 'pos': 'ADJ', 'synset': Synset('long.a.01')}
Lemma('be.v.01.be'): {'lemma': 'be', 'pos': 'VERB', 'synset': Synset('be.v.01')}
Lemma('review.v.01.review'): {'lemma': 'review', 'pos': 'VERB', 'synset': Synset('review.v.01')}
Lemma('aim.n.02.objective'): {'lemma': 'objective', 'pos': 'NOUN', 'synset': Synset('aim.n.02')}
Lemma('benefit.n.01.benefit'): {'lemma': 'benefit', 'pos': 'NOUN', 'synset': Synset('benefit.n.01')}
Lemma('service.n.05.service'): {'lemma': 'service', 'pos': 'NOUN', 'synset': Synset('service.n.05')}
Lemma('program.n.02.program'): {'lemma': 'program', 'pos': 'NOUN', 'synset': Synset('program.n.02')}
Lemma('let.v.01.permit'): {'lemma': 'permit', 'pos': 'VERB', 'synset': Synset('let.v.01')}
Lemma('become.v.02.become'): {'lemma': 'become', 'pos': 'VERB', 'synset': Synset('become.v.02')}
Lemma('giveaway.n.01.giveaway'): {'lemma': 'giveaway', 'pos': 'NOUN', 'synset': Synset('giveaway.n.01')}
Lemma('rather.r.01.rather'): {'lemma': 'rather', 'pos': 'ADV', 'synset': Synset('rather.r.01')}
Lemma('have.v.02.have'): {'lemma': 'have', 'pos': 'VERB', 'synset': Synset('have.v.02')}
Lemma('goal.n.01.goal'): {'lemma': 'goal', 'pos': 'NOUN', 'synset': Synset('goal.n.01')}
Lemma('improved.a.01.improved'): {'lemma': 'improved', 'pos': 'ADJ', 'synset': Synset('improved.a.01')}
Lemma('employee.n.01.employee'): {'lemma': 'employee', 'pos': 'NOUN', 'synset': Synset('employee.n.01')}
Lemma('morale.n.01.morale'): {'lemma': 'morale', 'pos': 'NOUN', 'synset': Synset('morale.n.01')}
Lemma('consequently.r.01.consequently'): {'lemma': 'consequently', 'pos': 'ADV', 'synset': Synset('consequently.r.01')}
Lemma('increased.a.01.increased'): {'lemma': 'increased', 'pos': 'ADJ', 'synset': Synset('increased.a.01')}
Lemma('productiveness.n.01.productivity'): {'lemma': 'productivity', 'pos': 'NOUN', 'synset': Synset('productiveness.n.01')}
Lemma('attempt.n.01.effort'): {'lemma': 'effort', 'pos': 'NOUN', 'synset': Synset('attempt.n.01')}
Lemma('make.v.01.make'): {'lemma': 'make', 'pos': 'VERB', 'synset': Synset('make.v.01')}
Lemma('measure.v.04.assess'): {'lemma': 'assess', 'pos': 'VERB', 'synset': Synset('measure.v.04')}
Lemma('result.n.03.result'): {'lemma': 'result', 'pos': 'NOUN', 'synset': Synset('result.n.03')}
Lemma('measure.v.04.measure'): {'lemma': 'measure', 'pos': 'VERB', 'synset': Synset('measure.v.04')}
Lemma('decreased.a.01.reduced'): {'lemma': 'reduced', 'pos': 'ADJ', 'synset': Synset('decreased.a.01')}
Lemma('absenteeism.n.01.absenteeism'): {'lemma': 'absenteeism', 'pos': 'NOUN', 'synset': Synset('absenteeism.n.01')}
Lemma('employee_turnover.n.01.turnover'): {'lemma': 'turnover', 'pos': 'NOUN', 'synset': Synset('employee_turnover.n.01')}
Lemma('accident.n.01.accident'): {'lemma': 'accident', 'pos': 'NOUN', 'synset': Synset('accident.n.01')}
Lemma('grievance.n.02.grievance'): {'lemma': 'grievance', 'pos': 'NOUN', 'synset': Synset('grievance.n.02')}
Lemma('improved.s.02.improved'): {'lemma': 'improved', 'pos': 'ADJ', 'synset': Synset('improved.s.02')}
Lemma('quality.n.01.quality'): {'lemma': 'quality', 'pos': 'NOUN', 'synset': Synset('quality.n.01')}
Lemma('output.n.02.output'): {'lemma': 'output', 'pos': 'NOUN', 'synset': Synset('output.n.02')}
Lemma('specify.v.02.set'): {'lemma': 'set', 'pos': 'VERB', 'synset': Synset('specify.v.02')}
Lemma('specific.a.01.specific'): {'lemma': 'specific', 'pos': 'ADJ', 'synset': Synset('specific.a.01')}
Lemma('publication.n.01.publication'): {'lemma': 'publication', 'pos': 'NOUN', 'synset': Synset('publication.n.01')}
Lemma('reach.v.07.reach'): {'lemma': 'reach', 'pos': 'VERB', 'synset': Synset('reach.v.07')}
Lemma('bigger.s.01.larger'): {'lemma': 'larger', 'pos': 'ADJ', 'synset': Synset('bigger.s.01')}
